experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_2a,3,2,ALL,0.4800,0.0000,0.0000,0.5200,24,0,0,26,50
experiment_2a,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,2,B_prime,0.4857,0.0000,0.0000,0.5143,17,0,0,18,35
experiment_2a,3,3,ALL,0.3200,0.0000,0.0000,0.6800,16,0,0,34,50
experiment_2a,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,3,B_prime,0.2571,0.0000,0.0000,0.7429,9,0,0,26,35
experiment_2a,3,4,ALL,0.4200,0.0000,0.0000,0.5800,21,0,0,29,50
experiment_2a,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,4,B_prime,0.4000,0.0000,0.0000,0.6000,14,0,0,21,35
experiment_2a,3,5,ALL,0.2800,0.0800,0.0000,0.6400,14,4,0,32,50
experiment_2a,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_2a,3,5,B_prime,0.3143,0.0000,0.0000,0.6857,11,0,0,24,35
experiment_1,4,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,3,ALL,0.3600,0.4800,0.0000,0.1600,18,24,0,8,50
experiment_1,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,3,B,0.3143,0.6857,0.0000,0.0000,11,24,0,0,35
experiment_1,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,4,ALL,0.6000,0.2400,0.0000,0.1600,30,12,0,8,50
experiment_1,4,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1,4,4,B,0.7143,0.2857,0.0000,0.0000,25,10,0,0,35
experiment_1,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,5,ALL,0.5000,0.3400,0.0000,0.1600,25,17,0,8,50
experiment_1,4,5,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1,4,5,B,0.5714,0.4286,0.0000,0.0000,20,15,0,0,35
experiment_1,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,4,ALL,0.7400,0.1000,0.0000,0.1600,37,5,0,8,50
experiment_1a,4,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1a,4,4,B,0.8857,0.1143,0.0000,0.0000,31,4,0,0,35
experiment_1a,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,5,ALL,0.3400,0.5000,0.0000,0.1600,17,25,0,8,50
experiment_1a,4,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_1a,4,5,B,0.4000,0.6000,0.0000,0.0000,14,21,0,0,35
experiment_1a,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,4,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
